"","x"
"100_g_at",-0.00234422161133918
"1000_at",-0.00186499188867706
"1001_at",-0.0176281940226777
"1002_f_at",-0.0211029359188701
"1003_s_at",0.0368503006689198
"1004_at",-0.00945179924858008
"1005_at",0.0086075121529352
"1006_at",-0.106018205378002
"1007_s_at",0.0533033241789109
"1008_f_at",-0.0101881014107894
"1009_at",-0.0125443776381293
"101_at",-0.0481054990941638
"1010_at",-0.0172053253567046
"1011_s_at",0.109425412432325
"1012_at",-0.00475570276747783
"1013_at",0.0166605592885929
"1014_at",0.0154161634327976
"1015_s_at",0.0165644872135957
"1016_s_at",-0.1121862816077
"1017_at",0.0165041297008279
"1018_at",0.000637777571987908
"1019_g_at",-0.00464630633903629
"102_at",-0.0370402175212332
"1020_s_at",-0.0134704466220135
"1021_at",-0.0889256691209628
"1022_f_at",0.000564677097209199
"1023_at",0.00274650069381255
"1024_at",-0.00191367390812669
"1025_g_at",-0.0250680647454669
"1026_s_at",-0.019835085839327
"1027_at",-0.0119510317261315
"1028_at",-0.042488892412601
"1029_s_at",0.00377127150578782
"103_at",0.110923148528357
"1030_s_at",0.0549135746465912
"1031_at",0.0344971651298085
"1032_at",-0.0187811477009623
"1033_g_at",-0.0581134627497901
"1034_at",0.0106941597386094
"1035_g_at",-0.00568094013130538
"1036_at",-0.00848742200494712
"1037_at",-0.0626118997832266
"1038_s_at",0.0273924988797434
"1039_s_at",-0.0532029006447887
"104_at",0.015745914240302
"1040_s_at",-0.0119678251783983
"1041_at",-0.00683808398803198
"1042_at",0.0946159887612206
"1043_s_at",0.0707837903180213
"1044_s_at",0.0802807952087063
"1045_s_at",0.0535232100714187
"1046_at",-0.0610541272731651
"1047_s_at",-0.00377250437060295
"1048_at",0.0682653937367572
"1049_g_at",0.0124680098996579
"105_at",-0.0400625729911739
"1050_at",0.139488911043733
"1051_g_at",-0.041419894518766
"1052_s_at",0.0791403123981738
"1053_at",-0.00286448314106025
"1054_at",0.0683547809971858
"1055_g_at",0.00691991892271848
"1056_s_at",0.0139110922574848
"1057_at",0.0278360428481657
"1058_at",0.0089562402088974
"1059_at",-0.0133777086994056
"106_at",0.0082150519346349
"1060_g_at",-0.037220367084289
"1061_at",0.0212562987441751
"1062_g_at",-0.0247018415228286
"1063_s_at",0.023813880838347
"1064_at",-0.0780102626505146
"1065_at",-0.0079674233777498
"1066_at",-0.0264793099825753
"1067_at",0.00916726132133983
"1068_g_at",0.00164968315198233
"1069_at",-0.0508348941205365
"107_at",-0.0214165981336405
"1070_at",-0.0545318592713404
"1071_at",-0.00349955084673281
"1072_g_at",-0.0164650069377152
"1073_at",0.0266074402496073
"1074_at",-0.0493773137275761
"1075_f_at",-0.036408335874615
"1076_at",0.0719663345481075
"1077_at",0.014421823208685
"1078_at",-0.0244099738228469
"1079_g_at",-0.0313653541756274
"108_g_at",0.0203391703571949
"1080_s_at",-0.0303705764006192
"1081_at",0.0395641380180871
"1082_at",-0.0455287216454627
"1083_s_at",0.0338388403293581
"1084_at",-0.00616794467828607
"1085_s_at",0.0546524285271752
"1086_at",-0.0201307325553399
"1087_at",-0.041783067050901
"1088_at",0.292295072616217
"1089_i_at",-0.0152454254985084
"109_at",-0.022076782198504
"1090_f_at",-0.000319449822394624
"1091_at",0.0157156883052634
"1092_at",-0.0143229800532143
"1093_at",-0.047275956966905
"1094_g_at",0.00271493665648137
"1095_s_at",0.0668869844644814
"1096_g_at",0.0307225953907768
"1097_s_at",0.111773206512249
"1098_at",0.0197136691943229
"1099_s_at",-0.106907160672622
"110_at",-0.0182889892441538
"1100_at",0.0729718597406863
"1101_at",-0.0152743666805644
"1102_s_at",0.0222774910096974
"1103_at",0.067392262452199
"1104_s_at",0.0783902617257808
"1105_s_at",0.032917674015938
"1106_s_at",0.00837416972639415
"1107_s_at",-0.0972228708362741
"1108_s_at",0.00326631140899059
"1109_s_at",0.0238733373580571
"111_at",0.0264062067251345
"1110_at",-0.102106307133484
"1111_at",0.0482984245308073
"1112_g_at",0.015993368026247
"1113_at",-0.0197334642957006
"1114_at",0.0320735446236107
"1115_at",-0.0248825300551165
"1116_at",-0.0258299469783736
"1117_at",-0.125442554084581
"1118_at",-0.0385731260524058
"1119_at",0.0126362308990999
"112_g_at",-0.0665151141357895
"1120_at",0.0889729142322724
"1121_g_at",0.101103652498057
"1122_f_at",-0.0247583177945621
"1123_at",-0.00758001044505763
"1124_at",0.0354797772586921
"1125_s_at",0.0550744215973098
"1126_s_at",0.00735258548825746
"1127_at",0.0261384804884679
"1128_s_at",-0.0042170743006944
"1129_at",-0.00832405169436701
"113_i_at",0.0107619544174096
"1130_at",-0.0149341809665049
"1131_at",0.0360090124887689
"1132_s_at",0.0265413096005485
"1133_at",0.0175979362644074
"1134_at",0.0264045250632206
"1135_at",-0.00921221103479586
"1136_at",-0.0257565236977391
"1137_at",0.106989564563478
"1138_at",-0.0207924556793795
"1139_at",-0.0344060636164603
"114_r_at",-0.0536565010636803
"1140_at",-0.0981651921211357
"1141_at",-0.0506030117652574
"1142_at",-0.0359717627931289
"1143_s_at",0.066263878987955
"1144_at",0.0286633079142486
"1145_g_at",0.067466909004102
"1146_at",0.00117948983667016
"1147_at",0.298909688745365
"1148_s_at",-0.0293016807773592
"1149_at",0.0200244957629687
"115_at",0.00553839918111176
"1150_at",-0.0296354175384803
"1151_at",-0.00043506365223811
"1152_i_at",0.0440693645607557
"1153_f_at",-0.0231704236627583
"1154_at",-0.00246448313766012
"1155_at",-0.031150015278949
"1156_at",-0.00158785302552444
"1157_s_at",0.0305472049821269
"1158_s_at",0.053667915083373
"1159_at",-0.0178170396501935
"116_at",0.0543378234926775
"1160_at",0.0253192496393297
"1161_at",0.0613216816306097
"1162_g_at",0.0042010020497274
"1163_at",0.0326904641398031
"1164_at",-0.0621686409523206
"1165_at",-0.0996545629128383
"1166_at",-0.00821023476840921
"1167_s_at",0.0148296656614926
"1168_at",-0.0374393772156095
"1169_at",-0.00987118893025918
"117_at",0.00628461912190104
"1170_at",-0.0132176845699412
"1171_s_at",0.00248787141422646
"1172_at",0.0134252287209515
"1173_g_at",-0.0628061014318271
"1174_at",-0.0795855942089017
"1175_s_at",-0.0574313647919972
"1176_at",-0.039746057567553
"1177_at",0.036553076974825
"1178_at",0.0304861716970648
"1179_at",0.00339227940391851
"118_at",0.0308393016997544
"1180_g_at",0.00167127763277719
"1181_at",0.0129554259797733
"1182_at",0.0733476488347372
"1183_at",0.0143361808984979
"1184_at",-0.0585303770341659
"1185_at",-0.00696760565065313
"1186_at",0.165051819327231
"1187_at",0.00293345863654038
"1188_g_at",-0.0451632265092528
"1189_at",-0.000618145517091939
"1190_at",-0.200832006165174
"1191_s_at",0.0429433890345337
"1192_at",0.00186209086942779
"1193_at",0.00753046617832553
"1194_g_at",-0.0144335295967304
"1195_s_at",0.0767288786379825
"1196_at",0.00271905676683204
"1197_at",0.215169605989654
"1198_at",0.235742198477545
"1199_at",0.0113101373404825
"120_at",-0.138849882972731
"1200_at",0.00308526402478093
"1201_at",0.0113515115542626
"1202_g_at",-0.021492842922177
"1203_at",0.0385794919232394
"1204_at",0.0585871823038133
"1205_at",0.0199163335817434
"1206_at",-0.0153462301349463
"1207_at",-0.0315278923180631
"1208_at",-0.000114340106408761
"1209_at",0.0126317774662292
"121_at",-0.000468466408638957
"1210_s_at",0.0275050937821404
"1211_s_at",-0.0334904050048306
"1212_at",0.00499527201324379
